store_id,product_name,week,units,revenue
T17,turmeric_doser,2023-10-02,111,255.6
P5724,mango_shot,2023-12-04,29,25.87
N3896,mango_doser,2023-01-16,66,143.76
M3527,mango_doser,2023-10-23,229,738.78
P2252,ginger_shot,2023-01-02,120,121.39
P2698,mango_doser,2023-10-02,143,503.16
M1895,ginger_doser,2023-11-20,835,2431.94
P2812,mango_doser,2023-11-13,55,179.7
T2964,mango_doser,2023-10-23,29,95.84
M3626,mango_doser,2023-06-12,118,353.41
N5635,mango_doser,2023-05-22,212,531.49
M4521,turmeric_doser,2023-11-20,34,127.8
M5393,ginger_doser,2023-01-23,116,323.46
N5240,mango_doser,2023-04-17,42,138.28
M203,mango_shot,2023-01-02,118,107.46
N2074,ginger_doser,2023-05-08,372,896.82
M141,mango_doser,2023-11-27,97,305.49
M3806,turmeric_doser,2023-06-12,40,161.54
M1019,ginger_shot,2023-10-30,694,733.35
T4999,ginger_shot,2023-03-27,245,228.85
P6590,mango_shot,2023-08-21,67,91.54
T2758,mango_shot,2023-02-20,347,356.21
N2175,ginger_doser,2023-04-10,62,108.69
P7147,ginger_doser,2023-09-25,45,125.79
M5160,turmeric_doser,2023-12-18,65,191.7
N2754,mango_doser,2023-04-17,66,137.77
M5393,ginger_shot,2023-07-03,140,165.17
N391,ginger_doser,2023-04-17,63,165.02
P2812,mango_shot,2023-06-12,81,85.57
N985,ginger_doser,2023-06-12,786,1921.11
N6359,mango_doser,2023-06-05,184,423.94
P5714,ginger_shot,2023-08-28,87,73.63
P6979,ginger_shot,2023-06-12,959,949.23
N1893,ginger_doser,2023-05-22,1112,2551.62
N3141,ginger_doser,2023-09-04,747,2156.4
M6135,mango_doser,2023-03-27,48,119.8
M2011,ginger_doser,2023-10-02,754,2443.92
N3735,ginger_shot,2023-06-19,160,155.4
T2010,ginger_shot,2023-02-20,205,177.11
P2642,turmeric_doser,2023-09-25,40,134.19
P2642,ginger_doser,2023-03-27,158,389.35
N4193,ginger_shot,2023-03-13,44,49.75
N5924,ginger_doser,2023-12-11,73,227.62
M3794,mango_shot,2023-05-22,113,113.43
N3194,turmeric_doser,2023-06-19,90,181.51
T3619,ginger_shot,2023-01-09,114,93.53
N6196,ginger_doser,2023-05-08,235,630.51
T4597,ginger_shot,2023-10-23,296,304.47
N1535,ginger_shot,2023-07-31,614,626.85
N7175,mango_doser,2023-12-18,31,53.91
M2713,mango_shot,2023-05-22,127,111.44
N83,mango_doser,2023-06-12,243,614.0
M2732,ginger_doser,2023-03-20,614,1958.73
M2732,mango_doser,2023-03-27,227,652.91
N6196,mango_doser,2023-10-02,107,305.49
M3527,ginger_shot,2023-12-04,652,666.65
N3494,mango_doser,2023-12-04,23,53.91
N1765,ginger_doser,2023-05-01,256,520.68
N5924,ginger_shot,2023-03-13,102,85.57
N4935,mango_doser,2023-05-29,80,256.64
N3735,ginger_shot,2023-02-27,156,141.29
N3010,ginger_doser,2023-06-12,143,285.09
T2951,ginger_doser,2023-07-24,60,215.64
M2630,mango_shot,2023-01-16,179,187.06
T6204,turmeric_doser,2023-09-18,114,364.23
N6760,ginger_doser,2023-07-10,364,981.61
M1315,turmeric_doser,2023-06-12,96,314.9
M2447,turmeric_doser,2023-07-03,72,269.91
P7177,mango_shot,2023-07-17,72,89.55
P683,turmeric_doser,2023-10-30,14,57.51
M3166,mango_doser,2023-04-03,30,71.88
N4235,turmeric_doser,2023-06-05,4,9.11
P6131,ginger_doser,2023-02-20,139,461.23
N1765,mango_doser,2023-08-07,101,275.54
T3857,ginger_doser,2023-09-04,64,149.75
P4059,ginger_shot,2023-05-15,173,171.14
M7237,mango_shot,2023-09-25,53,73.63
M399,ginger_shot,2023-06-12,175,213.13
P1026,mango_doser,2023-06-19,188,593.01
M2124,mango_doser,2023-09-18,92,335.44
P2812,mango_shot,2023-01-16,66,67.66
P3214,turmeric_doser,2023-08-07,5,25.56
M5994,ginger_shot,2023-08-07,804,833.81
N4435,ginger_doser,2023-04-17,259,701.07
N2074,mango_doser,2023-01-30,125,383.36
T2075,mango_shot,2023-06-12,220,214.92
M3447,turmeric_doser,2023-08-21,149,448.83
N143,ginger_doser,2023-06-19,46,135.43
T1488,ginger_shot,2023-01-02,504,451.73
N4632,ginger_shot,2023-01-30,68,83.58
N5130,mango_doser,2023-11-06,55,221.63
M911,mango_doser,2023-01-02,183,688.85
M141,mango_shot,2023-05-29,122,131.34
P6102,turmeric_doser,2023-10-30,94,268.38
M6838,ginger_doser,2023-12-11,163,467.22
M4588,mango_doser,2023-01-09,209,587.02
T115,ginger_shot,2023-02-13,371,318.4
P6102,ginger_doser,2023-12-18,438,1371.71
M3794,ginger_doser,2023-09-25,225,640.93
N3141,mango_doser,2023-10-02,269,820.63
N932,turmeric_doser,2023-11-20,26,76.68
P3214,mango_shot,2023-10-02,32,29.85
N5240,turmeric_doser,2023-06-05,27,66.78
M3389,mango_shot,2023-10-09,62,75.02
M3052,mango_doser,2023-02-13,71,191.68
T246,ginger_doser,2023-07-10,169,515.14
N719,mango_doser,2023-10-09,141,383.36
N3896,turmeric_doser,2023-09-11,52,121.41
M6749,mango_doser,2023-03-20,369,1162.06
T4885,mango_shot,2023-06-05,38,19.9
N2487,ginger_doser,2023-08-14,142,461.23
M1315,ginger_doser,2023-07-17,349,1048.25
M5226,mango_shot,2023-01-09,433,475.61
M4228,mango_shot,2023-12-18,153,129.35
M4918,ginger_shot,2023-09-18,1125,1144.25
N391,ginger_doser,2023-04-03,49,88.2
M2630,ginger_shot,2023-04-24,356,362.18
M4041,ginger_shot,2023-08-14,669,710.43
P2698,mango_shot,2023-05-08,187,177.11
M2447,turmeric_doser,2023-09-11,42,115.02
M1051,mango_shot,2023-04-03,300,284.57
T4777,mango_doser,2023-09-11,104,281.53
N1702,ginger_doser,2023-09-18,79,269.55
N5962,ginger_doser,2023-01-30,37,149.75
N3141,mango_doser,2023-09-18,274,856.57
M3954,mango_doser,2023-09-18,66,167.72
P4059,ginger_doser,2023-05-22,141,401.33
P1435,ginger_doser,2023-10-23,375,1215.97
N4766,ginger_doser,2023-10-02,1268,3881.52
P684,ginger_shot,2023-03-27,224,260.69
M727,ginger_doser,2023-12-25,267,874.54
M3031,ginger_doser,2023-10-23,639,2033.8
M3685,turmeric_doser,2023-08-28,114,341.48
N3487,mango_doser,2023-01-16,43,107.82
M31,ginger_doser,2023-11-06,392,1180.03
T6405,mango_shot,2023-09-04,136,119.4
P4819,mango_shot,2023-12-25,204,206.96
P6011,ginger_shot,2023-09-04,756,774.11
N564,ginger_doser,2023-05-22,191,487.68
N6289,ginger_doser,2023-02-27,77,215.64
T3283,turmeric_doser,2023-06-12,19,57.51
M1400,mango_shot,2023-11-20,75,65.67
T2448,ginger_doser,2023-12-25,417,1281.86
N6929,turmeric_doser,2023-06-12,9,35.82
P5764,turmeric_doser,2023-07-31,130,408.96
N6356,ginger_shot,2023-04-03,739,595.13
P1031,ginger_doser,2023-02-20,183,491.18
T3857,ginger_doser,2023-03-27,50,137.77
M1895,mango_shot,2023-03-20,477,511.43
N5130,mango_doser,2023-01-30,44,173.71
N7050,turmeric_doser,2023-09-04,23,95.85
M1989,ginger_shot,2023-08-14,237,200.99
T6899,turmeric_doser,2023-09-11,200,607.05
N302,mango_doser,2023-06-05,147,378.99
P2642,ginger_shot,2023-11-20,254,254.72
M3222,ginger_doser,2023-02-13,808,2539.76
P2812,ginger_shot,2023-10-30,183,159.2
N564,turmeric_doser,2023-11-27,61,134.19
T246,turmeric_doser,2023-07-03,46,108.63
M6838,mango_shot,2023-05-29,74,73.63
M2779,ginger_shot,2023-12-18,391,396.01
M5994,mango_shot,2023-05-08,354,384.07
N1702,mango_doser,2023-06-26,23,59.18
P6131,ginger_shot,2023-05-15,214,218.9
P5764,mango_shot,2023-04-24,346,376.11
M3685,ginger_doser,2023-12-04,392,1180.03
M1892,turmeric_doser,2023-06-26,285,907.89
N5661,mango_doser,2023-01-30,285,796.67
M1146,mango_doser,2023-01-16,46,173.71
T1268,mango_doser,2023-06-05,38,89.85
N5130,ginger_doser,2023-01-02,112,389.35
N2824,turmeric_doser,2023-10-16,25,95.85
M3414,mango_shot,2023-10-23,131,148.77
N4435,ginger_doser,2023-02-06,233,736.77
M5393,mango_doser,2023-02-06,31,119.8
M5869,turmeric_doser,2023-09-25,39,146.97
M3634,mango_doser,2023-08-21,150,521.13
T5577,ginger_shot,2023-07-31,85,91.54
T2758,mango_doser,2023-05-29,217,599.0
N1885,turmeric_doser,2023-09-18,92,255.6
M3932,mango_shot,2023-07-03,51,55.72
P5714,mango_doser,2023-07-31,18,71.88
N2487,turmeric_doser,2023-12-18,43,108.63
N564,turmeric_doser,2023-08-21,53,230.04
M5226,ginger_doser,2023-07-24,815,2372.04
T4999,mango_doser,2023-05-08,77,215.64
N1494,mango_doser,2023-07-31,152,341.43
N7233,mango_doser,2023-04-17,36,91.05
N151,ginger_doser,2023-09-18,321,982.36
N4384,ginger_shot,2023-03-13,59,25.87
N7233,ginger_doser,2023-02-13,114,233.61
P6979,mango_shot,2023-02-06,414,358.2
T7142,mango_shot,2023-11-06,63,59.7
P7269,mango_doser,2023-06-12,82,311.48
M3187,mango_doser,2023-08-14,95,203.66
N2813,turmeric_doser,2023-07-10,39,112.91
N5221,mango_doser,2023-12-18,17,77.87
M1139,ginger_shot,2023-11-27,271,210.94
M3389,mango_doser,2023-03-13,21,53.91
M966,ginger_shot,2023-03-06,323,310.44
M6875,mango_doser,2023-01-30,24,89.85
T848,ginger_shot,2023-02-20,170,200.99
P5664,mango_doser,2023-04-03,243,808.65
M299,turmeric_doser,2023-10-30,121,346.53
N4380,turmeric_doser,2023-07-24,184,530.37
M299,ginger_doser,2023-07-31,311,832.61
T4777,mango_doser,2023-08-21,111,281.53
M3052,ginger_doser,2023-01-30,194,616.97
N2973,turmeric_doser,2023-08-21,28,25.56
M5043,turmeric_doser,2023-07-17,49,163.58
N2209,ginger_doser,2023-11-13,215,652.91
P6011,mango_shot,2023-05-15,299,338.3
N5962,ginger_shot,2023-09-04,57,59.7
P684,mango_shot,2023-07-17,104,117.41
M5123,mango_doser,2023-10-23,661,2282.01
M1146,ginger_doser,2023-05-22,127,371.38
M5174,mango_doser,2023-03-27,171,557.07
T6899,mango_shot,2023-01-02,502,537.3
M4604,turmeric_doser,2023-12-04,81,300.33
N1983,ginger_doser,2023-03-20,202,441.01
N2074,turmeric_doser,2023-06-26,99,236.14
N4448,turmeric_doser,2023-11-20,27,76.68
M6331,mango_doser,2023-12-25,168,527.12
M6406,ginger_shot,2023-03-20,1185,1190.02
M3469,turmeric_doser,2023-11-13,109,319.5
M6844,turmeric_doser,2023-10-02,113,435.06
P5764,turmeric_doser,2023-08-07,122,345.06
N6345,ginger_doser,2023-06-19,89,205.43
N4448,ginger_doser,2023-09-04,153,467.22
T2964,mango_shot,2023-08-28,57,39.8
N3871,ginger_doser,2023-05-15,1409,3780.77
P6590,ginger_shot,2023-06-26,181,179.1
P4243,ginger_shot,2023-11-13,477,485.56
T246,ginger_shot,2023-01-23,204,175.12
N7175,mango_doser,2023-04-17,21,31.87
M6331,ginger_doser,2023-01-02,388,1000.33
P6620,mango_shot,2023-07-10,41,37.81
M908,ginger_doser,2023-06-19,324,1060.95
N6760,ginger_shot,2023-12-18,510,523.37
M2713,mango_doser,2023-02-20,71,269.55
N6359,ginger_shot,2023-06-12,577,498.71
M278,ginger_shot,2023-11-20,350,348.25
P5675,mango_shot,2023-11-13,78,73.63
M968,ginger_doser,2023-12-18,411,1227.95
N5962,turmeric_doser,2023-10-30,7,25.56
M6838,mango_shot,2023-06-26,99,81.59
N3003,mango_doser,2023-03-20,156,447.27
N433,turmeric_doser,2023-08-07,6,31.95
N5185,mango_doser,2023-01-30,71,173.71
M3396,ginger_shot,2023-09-11,239,244.77
T7248,ginger_shot,2023-07-10,653,618.89
N4514,mango_doser,2023-05-29,53,154.21
M727,ginger_shot,2023-09-18,302,280.59
N2824,ginger_doser,2023-02-06,86,203.66
P2008,turmeric_doser,2023-12-25,77,223.65
N5491,ginger_shot,2023-12-11,424,477.6
M3685,ginger_doser,2023-08-28,373,970.38
M3511,ginger_doser,2023-03-06,790,2533.77
P6131,mango_shot,2023-10-02,133,151.24
N4287,ginger_doser,2023-05-08,305,763.1
M3414,ginger_doser,2023-09-04,134,395.34
M5393,mango_shot,2023-12-25,66,75.62
P5675,mango_doser,2023-12-11,39,77.87
M6838,ginger_doser,2023-01-23,158,431.28
M6406,mango_shot,2023-03-27,494,497.5
T1393,mango_shot,2023-03-20,40,51.74
P1435,mango_doser,2023-11-06,130,311.48
M3358,turmeric_doser,2023-08-07,168,572.54
P2642,turmeric_doser,2023-07-03,44,166.14
M5994,mango_shot,2023-01-02,334,324.37
P2252,ginger_shot,2023-06-19,108,133.33
N4408,mango_doser,2023-07-17,66,174.13
P2827,ginger_shot,2023-03-27,154,155.22
N3853,ginger_shot,2023-09-25,217,216.91
M4176,ginger_doser,2023-02-20,1081,3144.75
M6208,turmeric_doser,2023-11-06,26,102.24
T2075,mango_shot,2023-03-06,210,222.88
T3883,turmeric_doser,2023-10-30,17,63.9
M1139,turmeric_doser,2023-10-09,76,238.17
N6215,ginger_doser,2023-01-23,707,2318.13
M3031,ginger_doser,2023-07-31,422,1377.7
N5635,ginger_doser,2023-01-16,641,1779.03
T2964,ginger_doser,2023-05-01,115,347.42
M1928,mango_doser,2023-06-19,244,610.98
M203,ginger_doser,2023-08-21,216,718.8
N1349,mango_doser,2023-01-30,70,221.63
P4819,ginger_shot,2023-06-26,486,507.45
M1928,mango_doser,2023-01-02,219,640.93
N4578,mango_doser,2023-07-31,266,748.75
N2795,ginger_doser,2023-02-20,154,413.31
M1558,mango_shot,2023-01-09,633,658.69
T2645,mango_shot,2023-06-26,100,87.56
M7215,mango_doser,2023-04-10,207,533.11
T246,ginger_shot,2023-10-23,205,220.89
N1511,mango_doser,2023-02-20,42,119.8
P2698,ginger_doser,2023-01-30,332,982.36
T848,ginger_doser,2023-12-11,131,431.28
P3209,ginger_doser,2023-08-21,434,1174.04
T4597,ginger_shot,2023-10-09,270,268.65
T4948,turmeric_doser,2023-11-20,245,760.41
P3422,mango_doser,2023-01-23,45,77.87
P7281,turmeric_doser,2023-09-25,78,236.43
P2827,ginger_doser,2023-10-02,108,275.54
N4698,mango_doser,2023-03-27,66,196.89
M1989,mango_shot,2023-10-30,143,166.7
N564,ginger_doser,2023-12-11,231,610.98
T3619,ginger_shot,2023-07-17,74,79.6
N457,turmeric_doser,2023-12-18,42,102.24
N716,mango_doser,2023-01-30,60,215.64
P6102,ginger_shot,2023-04-17,492,519.39
P6102,ginger_doser,2023-07-03,396,1072.21
M3414,mango_doser,2023-02-06,62,155.74
N3791,ginger_shot,2023-10-02,177,216.91
N3239,turmeric_doser,2023-06-19,10,4.86
T5438,ginger_doser,2023-02-13,57,179.7
N231,ginger_doser,2023-11-20,2392,7541.41
N1765,ginger_doser,2023-08-07,295,844.59
N1702,ginger_doser,2023-03-13,100,245.59
N811,ginger_doser,2023-09-04,113,329.45
N6760,ginger_doser,2023-05-08,343,829.67
N3328,ginger_shot,2023-09-25,230,220.89
N719,ginger_doser,2023-06-19,377,1098.84
N4614,ginger_doser,2023-06-12,144,375.57
N433,ginger_doser,2023-02-20,25,71.88
T4777,ginger_shot,2023-11-13,481,429.84
M4405,ginger_doser,2023-03-20,362,1054.24
P5714,ginger_shot,2023-03-13,85,81.59
N4435,ginger_shot,2023-09-11,352,334.32
P7281,mango_doser,2023-11-27,129,407.32
N2953,ginger_doser,2023-08-28,63,209.65
T1859,ginger_doser,2023-10-30,122,383.36
N7050,mango_doser,2023-09-25,53,215.64
M733,turmeric_doser,2023-12-04,154,479.25
M727,mango_doser,2023-02-13,99,353.41
M13,mango_shot,2023-10-02,358,421.44
N2557,ginger_doser,2023-02-20,202,634.94
M4176,ginger_doser,2023-03-27,1029,3096.83
T5577,ginger_shot,2023-02-27,101,107.46
M299,ginger_doser,2023-02-06,353,1030.28
M3222,ginger_doser,2023-08-28,831,2407.98
P5664,mango_doser,2023-03-06,290,459.43
P2698,mango_doser,2023-04-03,96,251.58
N4855,turmeric_doser,2023-12-04,26,108.63
N612,ginger_doser,2023-12-11,67,209.65
T2010,mango_doser,2023-10-16,48,173.71
M2962,mango_doser,2023-12-25,160,509.15
P6011,ginger_shot,2023-04-10,782,780.08
N5245,ginger_shot,2023-10-30,602,640.78
T2223,ginger_doser,2023-08-28,92,293.51
N3563,mango_doser,2023-05-08,58,173.56
M141,ginger_shot,2023-08-07,274,286.56
N3010,mango_doser,2023-08-21,53,119.8
N1833,turmeric_doser,2023-09-04,40,108.63
P5724,ginger_doser,2023-01-16,76,233.61
N6356,ginger_shot,2023-12-04,828,901.47
T246,mango_doser,2023-09-18,59,173.71
N6653,turmeric_doser,2023-08-21,13,57.51
N3896,ginger_doser,2023-10-09,228,706.82
M4138,ginger_shot,2023-05-08,1866,1876.57
M3031,ginger_doser,2023-08-14,403,1251.91
M4521,ginger_doser,2023-07-31,157,521.13
T2645,ginger_doser,2023-10-30,190,509.15
P1169,ginger_doser,2023-01-02,579,1779.03
N2175,turmeric_doser,2023-08-14,9,38.34
N1704,ginger_doser,2023-08-07,86,317.47
P7281,ginger_doser,2023-04-17,316,958.4
P6011,ginger_shot,2023-07-03,781,829.83
N4766,mango_doser,2023-07-17,480,1329.78
M37,turmeric_doser,2023-06-26,145,463.15
N302,ginger_doser,2023-08-28,472,1209.98
T2964,mango_shot,2023-01-02,68,87.56
N6795,mango_doser,2023-09-04,62,245.59
M6838,ginger_doser,2023-05-01,196,551.08
N6419,ginger_shot,2023-10-02,32,43.78
N7028,turmeric_doser,2023-09-25,110,345.06
N6356,mango_doser,2023-11-20,227,640.93
P6011,ginger_shot,2023-09-11,759,708.44
N4193,mango_doser,2023-07-24,20,83.86
N932,mango_doser,2023-03-06,42,65.89
T2010,ginger_shot,2023-02-13,176,157.21
T2758,mango_shot,2023-03-06,351,358.2
N3487,ginger_doser,2023-10-09,129,347.42
N3020,ginger_doser,2023-04-17,99,284.53
N6215,ginger_doser,2023-11-06,718,2120.46
N4935,ginger_shot,2023-11-13,270,252.73
M3476,turmeric_doser,2023-07-17,72,275.03
N283,turmeric_doser,2023-07-31,26,57.51
N3871,turmeric_doser,2023-10-23,352,1118.25
N4235,ginger_shot,2023-08-21,72,79.6
T4035,ginger_shot,2023-12-11,158,157.21
M6373,mango_shot,2023-10-02,526,584.16
N3748,ginger_doser,2023-08-07,853,2443.92
M739,ginger_shot,2023-03-13,517,481.58
N5090,ginger_doser,2023-11-20,1012,3018.96
N1511,ginger_doser,2023-01-23,109,389.35
M5174,ginger_doser,2023-08-07,474,1551.41
P632,mango_shot,2023-07-03,245,210.94
M6588,ginger_shot,2023-07-17,1100,1124.35
M5226,mango_doser,2023-04-17,288,904.49
P6011,mango_shot,2023-01-09,309,292.53
M141,ginger_doser,2023-02-13,192,670.88
N7315,ginger_doser,2023-07-03,234,653.84
N12,ginger_doser,2023-06-26,814,2193.69
M6135,ginger_shot,2023-01-16,173,191.04
N2755,turmeric_doser,2023-11-27,17,44.73
M6500,ginger_doser,2023-02-06,65,203.66
T1442,ginger_doser,2023-10-02,209,658.9
M5786,ginger_shot,2023-01-23,234,232.83
N4766,turmeric_doser,2023-11-13,329,977.67
M3187,ginger_shot,2023-05-08,277,298.5
T1904,ginger_doser,2023-07-03,59,197.67
M2477,mango_doser,2023-05-29,381,1030.28
P1026,ginger_shot,2023-01-30,685,744.26
P6441,ginger_doser,2023-07-10,250,664.89
N3637,ginger_doser,2023-05-15,292,736.92
M7251,turmeric_doser,2023-09-25,47,217.26
N2814,mango_doser,2023-10-02,85,215.64
M4138,ginger_shot,2023-02-06,1804,1834.78
T2075,mango_doser,2023-01-09,130,407.32
N7151,ginger_doser,2023-07-24,54,137.77
N3853,ginger_doser,2023-04-10,148,372.73
P1150,ginger_shot,2023-06-26,184,210.94
N2487,mango_doser,2023-02-13,54,137.77
M3358,ginger_shot,2023-09-04,815,782.07
N6760,ginger_doser,2023-04-17,356,963.97
M3031,turmeric_doser,2023-09-04,102,306.72
M4755,mango_shot,2023-07-24,122,125.37
M2477,ginger_doser,2023-03-20,955,2743.42
N6356,ginger_shot,2023-11-06,836,881.57
N4435,ginger_doser,2023-08-07,291,760.73
M6875,mango_doser,2023-03-06,46,113.81
N2755,ginger_doser,2023-09-18,85,269.55
N719,ginger_doser,2023-10-16,394,1180.03
T2010,ginger_shot,2023-05-29,186,195.02
M2797,turmeric_doser,2023-08-07,249,783.16
N5245,mango_doser,2023-12-04,186,389.35
T2223,ginger_shot,2023-10-02,109,71.64
P6858,ginger_shot,2023-02-20,263,248.75
N1983,ginger_doser,2023-12-04,237,814.64
M2441,turmeric_doser,2023-10-23,291,1034.43
T4706,ginger_shot,2023-03-06,416,413.92
N2557,mango_doser,2023-07-03,69,166.73
P3195,mango_doser,2023-03-20,54,104.82
T4948,ginger_shot,2023-11-13,1316,1269.62
N6760,mango_doser,2023-03-06,136,329.45
M7237,mango_shot,2023-01-16,53,55.72
T6405,mango_shot,2023-11-06,160,141.29
T1268,turmeric_doser,2023-12-04,34,127.8
T3857,ginger_doser,2023-04-10,79,227.62
M2962,mango_shot,2023-09-04,241,260.69
M301,mango_shot,2023-09-11,273,282.58
N3020,ginger_shot,2023-07-03,177,183.95
P5664,ginger_doser,2023-12-11,805,2485.85
N1733,ginger_doser,2023-07-24,223,551.08
M5393,mango_doser,2023-07-10,31,125.79
N7050,mango_doser,2023-10-02,41,107.82
M1146,ginger_doser,2023-11-27,141,455.24
N5661,mango_doser,2023-02-06,322,976.37
M5174,turmeric_doser,2023-12-18,117,377.01
N4408,ginger_shot,2023-06-26,257,180.35
M2703,mango_doser,2023-12-18,258,796.67
T1488,mango_shot,2023-09-04,241,246.76
N796,ginger_doser,2023-07-03,229,645.87
N4514,mango_doser,2023-10-16,84,215.64
T1859,ginger_shot,2023-12-25,125,145.27
