store_id,store_name,store_type,customer_name,place_name,town
N4198,Nesco North Puddlewyke,main,Nesco,North Puddlewyke,Puddlewyke
T3858,Torrisons South Cornthwaite,main,Torrisons,South Cornthwaite,Cornthwaite
M4730,Mainsburys South Millthorpe,main,Mainsburys,South Millthorpe,Millthorpe
P2961,Little Platerows Upper Mossthorpe,convenience,Platerows,Upper Mossthorpe,Mossthorpe
M5332,Local Mainsburys Thornwick,convenience,Mainsburys,Thornwick,Thornwick
N5356,Nesco Lower Caerhurst,main,Nesco,Lower Caerhurst,Caerhurst
N658,Nesco North Darrowby,main,Nesco,North Darrowby,Darrowby
N4478,Local Nesco South Wickhamford,convenience,Nesco,South Wickhamford,Wickhamford
P6319,Platerows West Falkenridge,main,Platerows,West Falkenridge,Falkenridge
M892,Mainsburys North Drayminster,main,Mainsburys,North Drayminster,Drayminster
M7285,Local Mainsburys North Dunsmere,convenience,Mainsburys,North Dunsmere,Dunsmere
M383,Mainsburys North Rindleton,main,Mainsburys,North Rindleton,Rindleton
M6320,Local Mainsburys Upper Oatmere,convenience,Mainsburys,Upper Oatmere,Oatmere
N4203,Local Nesco Lower Quenndale,convenience,Nesco,Lower Quenndale,Quenndale
T4008,Torrisons North Gainsworth,main,Torrisons,North Gainsworth,Gainsworth
P3452,Platerows Upper Thornhollow,main,Platerows,Upper Thornhollow,Thornhollow
P4634,Little Platerows Lower Thornhollow,convenience,Platerows,Lower Thornhollow,Thornhollow
T6326,Torrisons West Casterly,main,Torrisons,West Casterly,Casterly
N2175,Local Nesco Lower Charnwood,convenience,Nesco,Lower Charnwood,Charnwood
N5689,Nesco Upper Welford,main,Nesco,Upper Welford,Welford
M4415,Local Mainsburys East Highmere,convenience,Mainsburys,East Highmere,Highmere
N3970,Local Nesco East Larkminster,convenience,Nesco,East Larkminster,Larkminster
M6611,Local Mainsburys Lower Yarrowby,convenience,Mainsburys,Lower Yarrowby,Yarrowby
T1305,Torrisons Tatterby,main,Torrisons,Tatterby,Tatterby
M337,Local Mainsburys East Burrowden,convenience,Mainsburys,East Burrowden,Burrowden
P6926,Platerows Grimthorpe,main,Platerows,Grimthorpe,Grimthorpe
N4520,Nesco Upper Goldwynn,main,Nesco,Upper Goldwynn,Goldwynn
N2380,Local Nesco East Emsworth,convenience,Nesco,East Emsworth,Emsworth
N4812,Local Nesco South Cornthwaite,convenience,Nesco,South Cornthwaite,Cornthwaite
N7119,Nesco South Kellington,main,Nesco,South Kellington,Kellington
N2426,Local Nesco Lower Gainsworth,convenience,Nesco,Lower Gainsworth,Gainsworth
P2474,Platerows Upper Rothermere,main,Platerows,Upper Rothermere,Rothermere
M6844,Mainsburys Upper Delmere,main,Mainsburys,Upper Delmere,Delmere
N4957,Nesco North Draycott,main,Nesco,North Draycott,Draycott
N609,Local Nesco Lower Bramwyck,convenience,Nesco,Lower Bramwyck,Bramwyck
M2763,Local Mainsburys North Norbury,convenience,Mainsburys,North Norbury,Norbury
M6687,Local Mainsburys East Buckleigh,convenience,Mainsburys,East Buckleigh,Buckleigh
P226,Platerows West Ravengate,main,Platerows,West Ravengate,Ravengate
N32,Nesco East Lowdenham,main,Nesco,East Lowdenham,Lowdenham
N4640,Local Nesco Deepmere,convenience,Nesco,Deepmere,Deepmere
M4742,Local Mainsburys Lower Loxborough,convenience,Mainsburys,Lower Loxborough,Loxborough
P5341,Platerows Wrenford,main,Platerows,Wrenford,Wrenford
N5119,Nesco West Stagthorne,main,Nesco,West Stagthorne,Stagthorne
M6573,Mainsburys Lower Westleigh,main,Mainsburys,Lower Westleigh,Westleigh
N4173,Local Nesco Oxtonford,convenience,Nesco,Oxtonford,Oxtonford
M3360,Mainsburys North Quetherby,main,Mainsburys,North Quetherby,Quetherby
P7186,Little Platerows South Stagthorne,convenience,Platerows,South Stagthorne,Stagthorne
N5545,Nesco Upper Chilversham,main,Nesco,Upper Chilversham,Chilversham
M6373,Mainsburys North Pelhamstead,main,Mainsburys,North Pelhamstead,Pelhamstead
T5099,Torrisons Banebridge,main,Torrisons,Banebridge,Banebridge
N1349,Nesco Highmere,main,Nesco,Highmere,Highmere
P6665,Platerows East Meresbourne,main,Platerows,East Meresbourne,Meresbourne
N7080,Nesco South Westleigh,main,Nesco,South Westleigh,Westleigh
N2498,Nesco West Wintermere,main,Nesco,West Wintermere,Wintermere
P1676,Little Platerows West Eddington,convenience,Platerows,West Eddington,Eddington
N2192,Nesco West Kingsholt,main,Nesco,West Kingsholt,Kingsholt
M6135,Local Mainsburys Lower Hallmere,convenience,Mainsburys,Lower Hallmere,Hallmere
P6365,Little Platerows West Rothermere,convenience,Platerows,West Rothermere,Rothermere
M2610,Local Mainsburys East Meresbourne,convenience,Mainsburys,East Meresbourne,Meresbourne
T57,Torrisons South Charnwood,main,Torrisons,South Charnwood,Charnwood
T4752,Torrisons Upper Longmere,main,Torrisons,Upper Longmere,Longmere
T6182,Torrisons West Brackmere,main,Torrisons,West Brackmere,Brackmere
N2314,Nesco East Charnwood,main,Nesco,East Charnwood,Charnwood
T2951,Torrisons Upper Charnwood,main,Torrisons,Upper Charnwood,Charnwood
T1488,Torrisons North Dorleigh,main,Torrisons,North Dorleigh,Dorleigh
N7198,Local Nesco North Loxborough,convenience,Nesco,North Loxborough,Loxborough
M1370,Local Mainsburys South Stagthorne,convenience,Mainsburys,South Stagthorne,Stagthorne
M4988,Mainsburys North Darrowby,main,Mainsburys,North Darrowby,Darrowby
P3998,Little Platerows East Quetherby,convenience,Platerows,East Quetherby,Quetherby
M6163,Local Mainsburys North Hollowbrook,convenience,Mainsburys,North Hollowbrook,Hollowbrook
P4546,Platerows Lower Stagthorne,main,Platerows,Lower Stagthorne,Stagthorne
M5671,Mainsburys Upper Quenndale,main,Mainsburys,Upper Quenndale,Quenndale
M5890,Mainsburys Lower Emsworth,main,Mainsburys,Lower Emsworth,Emsworth
M3954,Mainsburys South Blackmere,main,Mainsburys,South Blackmere,Blackmere
N6677,Local Nesco Upper Ketterly,convenience,Nesco,Upper Ketterly,Ketterly
M5301,Local Mainsburys Upper Norbury,convenience,Mainsburys,Upper Norbury,Norbury
P1002,Little Platerows West Fallhurst,convenience,Platerows,West Fallhurst,Fallhurst
N344,Nesco Harthwick,main,Nesco,Harthwick,Harthwick
P2094,Platerows East Yoxminster,main,Platerows,East Yoxminster,Yoxminster
M1544,Mainsburys Oxtonford,main,Mainsburys,Oxtonford,Oxtonford
N3783,Local Nesco North Buckleigh,convenience,Nesco,North Buckleigh,Buckleigh
N2975,Nesco Larkminster,main,Nesco,Larkminster,Larkminster
P2000,Little Platerows Lower Clayworth,convenience,Platerows,Lower Clayworth,Clayworth
T836,Torrisons West Ledbury,main,Torrisons,West Ledbury,Ledbury
P1619,Platerows Upper Wrenford,main,Platerows,Upper Wrenford,Wrenford
T4896,Torrisons North Caerhurst,main,Torrisons,North Caerhurst,Caerhurst
T277,Torrisons East Wexford,main,Torrisons,East Wexford,Wexford
M6509,Mainsburys Eastmere,main,Mainsburys,Eastmere,Eastmere
M1696,Local Mainsburys Lower Millthorpe,convenience,Mainsburys,Lower Millthorpe,Millthorpe
M864,Mainsburys East Blackmere,main,Mainsburys,East Blackmere,Blackmere
T2869,Torrisons East Thornwick,main,Torrisons,East Thornwick,Thornwick
M2753,Mainsburys Welford,main,Mainsburys,Welford,Welford
M6711,Mainsburys Upper Norcombe,main,Mainsburys,Upper Norcombe,Norcombe
T7135,Torrisons West Ketterly,main,Torrisons,West Ketterly,Ketterly
N5120,Nesco South Blisworth,main,Nesco,South Blisworth,Blisworth
N997,Nesco South Broxted,main,Nesco,South Broxted,Broxted
P7339,Platerows Cragmere,main,Platerows,Cragmere,Cragmere
M530,Mainsburys East Haythorne,main,Mainsburys,East Haythorne,Haythorne
M3939,Mainsburys Upper Blackmere,main,Mainsburys,Upper Blackmere,Blackmere
M1559,Mainsburys North Drummondale,main,Mainsburys,North Drummondale,Drummondale
P1294,Little Platerows West Caerhurst,convenience,Platerows,West Caerhurst,Caerhurst
P2326,Platerows Dunsmere,main,Platerows,Dunsmere,Dunsmere
N6449,Local Nesco Buckleigh,convenience,Nesco,Buckleigh,Buckleigh
M1197,Mainsburys Lower Rothermere,main,Mainsburys,Lower Rothermere,Rothermere
T905,Torrisons South Hallmere,main,Torrisons,South Hallmere,Hallmere
M2471,Local Mainsburys North Norhollow,convenience,Mainsburys,North Norhollow,Norhollow
T6033,Torrisons Winshaw,main,Torrisons,Winshaw,Winshaw
N5681,Nesco East Fallowden,main,Nesco,East Fallowden,Fallowden
M3717,Local Mainsburys Thatchwyke,convenience,Mainsburys,Thatchwyke,Thatchwyke
P3030,Little Platerows Upper Thatchwyke,convenience,Platerows,Upper Thatchwyke,Thatchwyke
M6684,Local Mainsburys Grimsbyrn,convenience,Mainsburys,Grimsbyrn,Grimsbyrn
P493,Little Platerows West Fallowden,convenience,Platerows,West Fallowden,Fallowden
N3487,Local Nesco East Rockington,convenience,Nesco,East Rockington,Rockington
N6546,Nesco Upper Fallowden,main,Nesco,Upper Fallowden,Fallowden
P745,Little Platerows East Marbury,convenience,Platerows,East Marbury,Marbury
T6142,Torrisons Rockington,main,Torrisons,Rockington,Rockington
M5380,Mainsburys South Foxglade,main,Mainsburys,South Foxglade,Foxglade
P2611,Platerows West Brambleton,main,Platerows,West Brambleton,Brambleton
M3622,Local Mainsburys South Pendlestone,convenience,Mainsburys,South Pendlestone,Pendlestone
N3325,Nesco West Thistlemere,main,Nesco,West Thistlemere,Thistlemere
T6597,Torrisons Upper Foxworth,main,Torrisons,Upper Foxworth,Foxworth
P4446,Little Platerows North Fairholt,convenience,Platerows,North Fairholt,Fairholt
N1250,Nesco West Ayleswick,main,Nesco,West Ayleswick,Ayleswick
P4505,Little Platerows Upper Stonleigh,convenience,Platerows,Upper Stonleigh,Stonleigh
T4702,Torrisons West Brambleton,main,Torrisons,West Brambleton,Brambleton
P715,Little Platerows North Northwyke,convenience,Platerows,North Northwyke,Northwyke
N1225,Local Nesco Lower Netherton,convenience,Nesco,Lower Netherton,Netherton
T5763,Torrisons West Draycott,main,Torrisons,West Draycott,Draycott
M38,Local Mainsburys Drummondale,convenience,Mainsburys,Drummondale,Drummondale
P4269,Platerows South Ashcombe,main,Platerows,South Ashcombe,Ashcombe
P614,Platerows North Hallmere,main,Platerows,North Hallmere,Hallmere
M787,Local Mainsburys Carlington,convenience,Mainsburys,Carlington,Carlington
M2316,Local Mainsburys Upper Oakenshire,convenience,Mainsburys,Upper Oakenshire,Oakenshire
M2047,Mainsburys West Drummondale,main,Mainsburys,West Drummondale,Drummondale
T670,Torrisons West Drayminster,main,Torrisons,West Drayminster,Drayminster
P5884,Little Platerows East Craydon,convenience,Platerows,East Craydon,Craydon
M7178,Local Mainsburys South Avenbury,convenience,Mainsburys,South Avenbury,Avenbury
P5581,Little Platerows South Ironmere,convenience,Platerows,South Ironmere,Ironmere
M1139,Mainsburys Moorstead,main,Mainsburys,Moorstead,Moorstead
T2934,Torrisons West Clovenshire,main,Torrisons,West Clovenshire,Clovenshire
P964,Platerows South Rothermere,main,Platerows,South Rothermere,Rothermere
P5293,Little Platerows Lower Norbury,convenience,Platerows,Lower Norbury,Norbury
T6966,Torrisons Millthorpe,main,Torrisons,Millthorpe,Millthorpe
P2236,Platerows Dunhaven,main,Platerows,Dunhaven,Dunhaven
N2754,Nesco North Moorstead,main,Nesco,North Moorstead,Moorstead
M1112,Local Mainsburys East Brindleford,convenience,Mainsburys,East Brindleford,Brindleford
M3358,Mainsburys North Rothermere,main,Mainsburys,North Rothermere,Rothermere
P4243,Platerows Lower Mossthorpe,main,Platerows,Lower Mossthorpe,Mossthorpe
M2995,Mainsburys East Oxtonford,main,Mainsburys,East Oxtonford,Oxtonford
N457,Nesco Upper Blackmere,main,Nesco,Upper Blackmere,Blackmere
T6691,Torrisons Ironmere,main,Torrisons,Ironmere,Ironmere
P5157,Little Platerows Lower Hitherwick,convenience,Platerows,Lower Hitherwick,Hitherwick
N1774,Local Nesco South Loxborough,convenience,Nesco,South Loxborough,Loxborough
P6635,Platerows East Goldwynn,main,Platerows,East Goldwynn,Goldwynn
N5252,Nesco North Chilversham,main,Nesco,North Chilversham,Chilversham
N4871,Local Nesco Bramwyck,convenience,Nesco,Bramwyck,Bramwyck
P5190,Little Platerows Wetherbrook,convenience,Platerows,Wetherbrook,Wetherbrook
N3871,Nesco South Everdale,main,Nesco,South Everdale,Everdale
N5918,Nesco North Marlington,main,Nesco,North Marlington,Marlington
P1050,Little Platerows East Wrenford,convenience,Platerows,East Wrenford,Wrenford
T6765,Torrisons East Thatchwyke,main,Torrisons,East Thatchwyke,Thatchwyke
P5926,Little Platerows Lower Broxted,convenience,Platerows,Lower Broxted,Broxted
P5768,Little Platerows East Harrowmere,convenience,Platerows,East Harrowmere,Harrowmere
N554,Local Nesco East Kingsholt,convenience,Nesco,East Kingsholt,Kingsholt
P4866,Platerows West Wexford,main,Platerows,West Wexford,Wexford
M4539,Local Mainsburys South Millthorpe,convenience,Mainsburys,South Millthorpe,Millthorpe
P2438,Little Platerows South Hallmere,convenience,Platerows,South Hallmere,Hallmere
P1408,Platerows Thornhollow,main,Platerows,Thornhollow,Thornhollow
T5876,Torrisons Lower Emsworth,main,Torrisons,Lower Emsworth,Emsworth
P2948,Platerows Lower Fallhurst,main,Platerows,Lower Fallhurst,Fallhurst
P3519,Little Platerows North Grimthorpe,convenience,Platerows,North Grimthorpe,Grimthorpe
P7049,Platerows Upper Kellington,main,Platerows,Upper Kellington,Kellington
M2967,Local Mainsburys Lower Redwick,convenience,Mainsburys,Lower Redwick,Redwick
M6859,Mainsburys North Wrenford,main,Mainsburys,North Wrenford,Wrenford
N3819,Local Nesco South Moorstead,convenience,Nesco,South Moorstead,Moorstead
M2294,Local Mainsburys Upper Windmere,convenience,Mainsburys,Upper Windmere,Windmere
P684,Platerows West Thornwick,main,Platerows,West Thornwick,Thornwick
N1819,Nesco Upper Foxglade,main,Nesco,Upper Foxglade,Foxglade
N3980,Nesco Upper Greengate,main,Nesco,Upper Greengate,Greengate
N2635,Local Nesco Upper Draycott,convenience,Nesco,Upper Draycott,Draycott
M711,Local Mainsburys Upper Brambleton,convenience,Mainsburys,Upper Brambleton,Brambleton
M557,Mainsburys West Fenleigh,main,Mainsburys,West Fenleigh,Fenleigh
M4943,Local Mainsburys North Yarrowby,convenience,Mainsburys,North Yarrowby,Yarrowby
T4650,Torrisons North Mistridge,main,Torrisons,North Mistridge,Mistridge
N4514,Local Nesco Upper Dunsmere,convenience,Nesco,Upper Dunsmere,Dunsmere
N3880,Nesco East Fallhurst,main,Nesco,East Fallhurst,Fallhurst
P3016,Platerows Lower Falkenridge,main,Platerows,Lower Falkenridge,Falkenridge
M2821,Mainsburys North Ormsleigh,main,Mainsburys,North Ormsleigh,Ormsleigh
N1064,Local Nesco Mistridge,convenience,Nesco,Mistridge,Mistridge
N1065,Local Nesco West Coldminster,convenience,Nesco,West Coldminster,Coldminster
P5692,Little Platerows Lower Norhollow,convenience,Platerows,Lower Norhollow,Norhollow
N3589,Local Nesco East Mapplethorpe,convenience,Nesco,East Mapplethorpe,Mapplethorpe
M4574,Local Mainsburys North Clayworth,convenience,Mainsburys,North Clayworth,Clayworth
P3546,Little Platerows Lower Westleigh,convenience,Platerows,Lower Westleigh,Westleigh
T1877,Torrisons Upper Brambleton,main,Torrisons,Upper Brambleton,Brambleton
N7195,Nesco South Shaldwick,main,Nesco,South Shaldwick,Shaldwick
N113,Nesco Upper Delmere,main,Nesco,Upper Delmere,Delmere
P3593,Platerows Upper Moorstead,main,Platerows,Upper Moorstead,Moorstead
M440,Local Mainsburys Lower Hollowbrook,convenience,Mainsburys,Lower Hollowbrook,Hollowbrook
T4355,Torrisons South Harthwick,main,Torrisons,South Harthwick,Harthwick
T5638,Torrisons Lower Brindleford,main,Torrisons,Lower Brindleford,Brindleford
M5582,Local Mainsburys East Thornhollow,convenience,Mainsburys,East Thornhollow,Thornhollow
M589,Local Mainsburys North Eastmere,convenience,Mainsburys,North Eastmere,Eastmere
T2523,Torrisons Upper Colmere,main,Torrisons,Upper Colmere,Colmere
N2943,Local Nesco Upper Grimsbyrn,convenience,Nesco,Upper Grimsbyrn,Grimsbyrn
P184,Platerows Lower Mistridge,main,Platerows,Lower Mistridge,Mistridge
N3748,Nesco Upper Clovenshire,main,Nesco,Upper Clovenshire,Clovenshire
N709,Local Nesco Avenbury,convenience,Nesco,Avenbury,Avenbury
N6429,Nesco South Wexford,main,Nesco,South Wexford,Wexford
M2656,Local Mainsburys West Moorstead,convenience,Mainsburys,West Moorstead,Moorstead
P5547,Little Platerows Upper Gainsworth,convenience,Platerows,Upper Gainsworth,Gainsworth
N651,Local Nesco North Windmere,convenience,Nesco,North Windmere,Windmere
M5043,Local Mainsburys East Darrowby,convenience,Mainsburys,East Darrowby,Darrowby
P761,Platerows South Larkminster,main,Platerows,South Larkminster,Larkminster
M3187,Local Mainsburys Upper Lowdenham,convenience,Mainsburys,Upper Lowdenham,Lowdenham
M4768,Local Mainsburys East Banebridge,convenience,Mainsburys,East Banebridge,Banebridge
P6785,Platerows Upper Ledbury,main,Platerows,Upper Ledbury,Ledbury
P2980,Platerows Upper Hartmere,main,Platerows,Upper Hartmere,Hartmere
P1869,Little Platerows North Thornwick,convenience,Platerows,North Thornwick,Thornwick
M5041,Local Mainsburys Yoxminster,convenience,Mainsburys,Yoxminster,Yoxminster
P1730,Platerows South Drummondale,main,Platerows,South Drummondale,Drummondale
M3151,Local Mainsburys South Netherton,convenience,Mainsburys,South Netherton,Netherton
P2400,Platerows North Fallhurst,main,Platerows,North Fallhurst,Fallhurst
N5927,Nesco Upper Somerleigh,main,Nesco,Upper Somerleigh,Somerleigh
M3441,Mainsburys North Buckleigh,main,Mainsburys,North Buckleigh,Buckleigh
M6501,Local Mainsburys Upper Somerleigh,convenience,Mainsburys,Upper Somerleigh,Somerleigh
P4095,Little Platerows Lower Fairholt,convenience,Platerows,Lower Fairholt,Fairholt
P6572,Little Platerows South Ashcombe,convenience,Platerows,South Ashcombe,Ashcombe
M2578,Mainsburys Lower Litchwood,main,Mainsburys,Lower Litchwood,Litchwood
M3116,Mainsburys Lower Luddington,main,Mainsburys,Lower Luddington,Luddington
P5449,Little Platerows West Falkenridge,convenience,Platerows,West Falkenridge,Falkenridge
P7271,Little Platerows South Tatterby,convenience,Platerows,South Tatterby,Tatterby
N4123,Nesco West Wickhamford,main,Nesco,West Wickhamford,Wickhamford
N2191,Nesco Upper Cherriford,main,Nesco,Upper Cherriford,Cherriford
T3115,Torrisons East Falkenridge,main,Torrisons,East Falkenridge,Falkenridge
N3552,Local Nesco North Brackmere,convenience,Nesco,North Brackmere,Brackmere
P6361,Little Platerows Clayworth,convenience,Platerows,Clayworth,Clayworth
P1173,Platerows East Uxmere,main,Platerows,East Uxmere,Uxmere
P7021,Platerows North Rockington,main,Platerows,North Rockington,Rockington
M1818,Mainsburys East Buckleigh,main,Mainsburys,East Buckleigh,Buckleigh
N5935,Nesco Harrowmere,main,Nesco,Harrowmere,Harrowmere
T2448,Torrisons East Coldminster,main,Torrisons,East Coldminster,Coldminster
N1815,Local Nesco South Elderwick,convenience,Nesco,South Elderwick,Elderwick
N1247,Nesco Northwyke,main,Nesco,Northwyke,Northwyke
M1548,Local Mainsburys East Fairholt,convenience,Mainsburys,East Fairholt,Fairholt
N5589,Local Nesco Upper Goldwynn,convenience,Nesco,Upper Goldwynn,Goldwynn
N7200,Local Nesco Upper Eldwich,convenience,Nesco,Upper Eldwich,Eldwich
M301,Local Mainsburys North Fallhurst,convenience,Mainsburys,North Fallhurst,Fallhurst
M4206,Mainsburys North Falkenridge,main,Mainsburys,North Falkenridge,Falkenridge
M6693,Local Mainsburys Upper Bramwyck,convenience,Mainsburys,Upper Bramwyck,Bramwyck
M3933,Mainsburys North Stagthorne,main,Mainsburys,North Stagthorne,Stagthorne
N270,Local Nesco Upper Fenbrook,convenience,Nesco,Upper Fenbrook,Fenbrook
P1449,Platerows North Keswicke,main,Platerows,North Keswicke,Keswicke
M3769,Mainsburys Lower Brindleford,main,Mainsburys,Lower Brindleford,Brindleford
P6485,Platerows West Rindleton,main,Platerows,West Rindleton,Rindleton
N1494,Nesco Upper Foxworth,main,Nesco,Upper Foxworth,Foxworth
M6385,Local Mainsburys West Bleakmere,convenience,Mainsburys,West Bleakmere,Bleakmere
N5909,Nesco Drummondale,main,Nesco,Drummondale,Drummondale
N5619,Local Nesco North Harbury,convenience,Nesco,North Harbury,Harbury
M2902,Local Mainsburys Oxtonford,convenience,Mainsburys,Oxtonford,Oxtonford
N4235,Local Nesco Greythorne,convenience,Nesco,Greythorne,Greythorne
N5340,Local Nesco Huntwick,convenience,Nesco,Huntwick,Huntwick
N6483,Nesco Upper Marbury,main,Nesco,Upper Marbury,Marbury
N1931,Nesco Upper Wickhamford,main,Nesco,Upper Wickhamford,Wickhamford
T6837,Torrisons North Elmwych,main,Torrisons,North Elmwych,Elmwych
M7300,Mainsburys Upper Haythorne,main,Mainsburys,Upper Haythorne,Haythorne
P6893,Little Platerows Fenshire,convenience,Platerows,Fenshire,Fenshire
M3720,Mainsburys West Kingsholt,main,Mainsburys,West Kingsholt,Kingsholt
M5605,Mainsburys East Gildermere,main,Mainsburys,East Gildermere,Gildermere
M4253,Mainsburys South Harthwick,main,Mainsburys,South Harthwick,Harthwick
P7138,Little Platerows East Cornthwaite,convenience,Platerows,East Cornthwaite,Cornthwaite
N326,Local Nesco North Eldwich,convenience,Nesco,North Eldwich,Eldwich
P4856,Little Platerows Lower Hartmere,convenience,Platerows,Lower Hartmere,Hartmere
P1640,Little Platerows South Northwyke,convenience,Platerows,South Northwyke,Northwyke
T1952,Torrisons South Winshaw,main,Torrisons,South Winshaw,Winshaw
M6555,Mainsburys West Norcombe,main,Mainsburys,West Norcombe,Norcombe
N6574,Nesco Caerhurst,main,Nesco,Caerhurst,Caerhurst
P998,Platerows South Dorleigh,main,Platerows,South Dorleigh,Dorleigh
N1768,Nesco Elderwick,main,Nesco,Elderwick,Elderwick
N2538,Nesco North Broxted,main,Nesco,North Broxted,Broxted
T3096,Torrisons East Blisworth,main,Torrisons,East Blisworth,Blisworth
P3655,Platerows East Drummondale,main,Platerows,East Drummondale,Drummondale
P473,Little Platerows Lower Wetherbrook,convenience,Platerows,Lower Wetherbrook,Wetherbrook
M925,Local Mainsburys Lower Denthorpe,convenience,Mainsburys,Lower Denthorpe,Denthorpe
T6776,Torrisons South Somerleigh,main,Torrisons,South Somerleigh,Somerleigh
P2166,Little Platerows West Oxtonford,convenience,Platerows,West Oxtonford,Oxtonford
M7336,Mainsburys South Haythorne,main,Mainsburys,South Haythorne,Haythorne
P7037,Platerows Pendlestone,main,Platerows,Pendlestone,Pendlestone
M1229,Local Mainsburys North Welford,convenience,Mainsburys,North Welford,Welford
M3773,Mainsburys South Gainsworth,main,Mainsburys,South Gainsworth,Gainsworth
M1402,Mainsburys West Oatmere,main,Mainsburys,West Oatmere,Oatmere
P5754,Platerows Brambleton,main,Platerows,Brambleton,Brambleton
N3853,Local Nesco Upper Yoxminster,convenience,Nesco,Upper Yoxminster,Yoxminster
N2457,Nesco Lower Hallmere,main,Nesco,Lower Hallmere,Hallmere
P5660,Platerows Upper Ketterly,main,Platerows,Upper Ketterly,Ketterly
N6010,Nesco Hawkenridge,main,Nesco,Hawkenridge,Hawkenridge
P5524,Platerows East Ashcombe,main,Platerows,East Ashcombe,Ashcombe
M4561,Mainsburys South Dunhaven,main,Mainsburys,South Dunhaven,Dunhaven
P5842,Little Platerows Upper Huntwick,convenience,Platerows,Upper Huntwick,Huntwick
M5800,Mainsburys Lower Coldminster,main,Mainsburys,Lower Coldminster,Coldminster
P5494,Little Platerows Lower Lowdenham,convenience,Platerows,Lower Lowdenham,Lowdenham
P1352,Little Platerows South Charnwood,convenience,Platerows,South Charnwood,Charnwood
N851,Local Nesco South Fairholt,convenience,Nesco,South Fairholt,Fairholt
T569,Torrisons West Loxborough,main,Torrisons,West Loxborough,Loxborough
T2849,Torrisons West Mossthorpe,main,Torrisons,West Mossthorpe,Mossthorpe
